sequence_index,segment_uid,clip_id,video_id,activity,label,step_id,behavior,variation,original_length,padded_frames
54,train_0054_V006_4_0,V006_4_0,V006,PLACE_SEEDS,3,4,correct,none,32,0
55,train_0055_V006_4_1,V006_4_1,V006,PLACE_SEEDS,3,4,correct,none,32,0
56,train_0056_V006_4_2,V006_4_2,V006,PLACE_SEEDS,3,4,correct,none,32,0
57,train_0057_V006_5_0,V006_5_0,V006,TAKE_DROPPER,4,5,correct,none,19,13
58,train_0058_V006_6_0,V006_6_0,V006,ADD_WATER,5,6,correct,none,32,0
59,train_0059_V006_6_1,V006_6_1,V006,ADD_WATER,5,6,correct,none,32,0
60,train_0060_V006_6_2,V006_6_2,V006,ADD_WATER,5,6,correct,none,32,0
61,train_0061_V006_6_3,V006_6_3,V006,ADD_WATER,5,6,correct,none,32,0
62,train_0062_V006_6_4,V006_6_4,V006,ADD_WATER,5,6,correct,none,32,0
63,train_0063_V007_1_0,V007_1_0,V007,RETRIEVE_COTTON,0,1,correct,none,28,4
64,train_0064_V007_2_0,V007_2_0,V007,PLACE_COTTON,1,2,correct,none,25,7
65,train_0065_V007_3_0,V007_3_0,V007,HANDLE_SEEDS,2,3,correct,none,22,10
66,train_0066_V007_4_0,V007_4_0,V007,PLACE_SEEDS,3,4,correct,none,32,0
67,train_0067_V007_4_1,V007_4_1,V007,PLACE_SEEDS,3,4,correct,none,32,0
68,train_0068_V007_5_0,V007_5_0,V007,TAKE_DROPPER,4,5,correct,none,25,7
69,train_0069_V007_6_0,V007_6_0,V007,ADD_WATER,5,6,correct,none,32,0
70,train_0070_V007_6_1,V007_6_1,V007,ADD_WATER,5,6,correct,none,32,0
71,train_0071_V007_6_2,V007_6_2,V007,ADD_WATER,5,6,correct,none,32,0
72,train_0072_V007_6_3,V007_6_3,V007,ADD_WATER,5,6,correct,none,32,0
73,train_0073_V007_6_4,V007_6_4,V007,ADD_WATER,5,6,correct,none,32,0
74,train_0074_V007_6_5,V007_6_5,V007,ADD_WATER,5,6,correct,none,32,0
75,train_0075_V007_6_6,V007_6_6,V007,ADD_WATER,5,6,correct,none,32,0
76,train_0076_V007_6_7,V007_6_7,V007,ADD_WATER,5,6,correct,none,32,0
77,train_0077_V008_1_0,V008_1_0,V008,RETRIEVE_COTTON,0,1,correct,none,22,10
78,train_0078_V008_2_0,V008_2_0,V008,PLACE_COTTON,1,2,correct,none,25,7
79,train_0079_V008_3_0,V008_3_0,V008,HANDLE_SEEDS,2,3,correct,none,25,7
80,train_0080_V008_4_0,V008_4_0,V008,PLACE_SEEDS,3,4,correct,none,32,0
81,train_0081_V008_4_1,V008_4_1,V008,PLACE_SEEDS,3,4,correct,none,32,0
82,train_0082_V008_4_2,V008_4_2,V008,PLACE_SEEDS,3,4,correct,none,32,0
83,train_0083_V008_5_0,V008_5_0,V008,TAKE_DROPPER,4,5,correct,none,32,0
84,train_0084_V008_6_0,V008_6_0,V008,ADD_WATER,5,6,correct,none,32,0
85,train_0085_V008_6_1,V008_6_1,V008,ADD_WATER,5,6,correct,none,32,0
86,train_0086_V008_6_2,V008_6_2,V008,ADD_WATER,5,6,correct,none,32,0
87,train_0087_V008_6_3,V008_6_3,V008,ADD_WATER,5,6,correct,none,32,0
88,train_0088_V008_6_4,V008_6_4,V008,ADD_WATER,5,6,correct,none,32,0
89,train_0089_V008_6_5,V008_6_5,V008,ADD_WATER,5,6,correct,none,32,0
90,train_0090_V008_6_6,V008_6_6,V008,ADD_WATER,5,6,correct,none,32,0
91,train_0091_V008_6_7,V008_6_7,V008,ADD_WATER,5,6,correct,none,32,0
92,train_0092_V008_6_8,V008_6_8,V008,ADD_WATER,5,6,correct,none,32,0
93,train_0093_V008_6_9,V008_6_9,V008,ADD_WATER,5,6,correct,none,32,0
94,train_0094_V008_6_10,V008_6_10,V008,ADD_WATER,5,6,correct,none,32,0
95,train_0095_V008_6_11,V008_6_11,V008,ADD_WATER,5,6,correct,none,32,0
96,train_0096_V008_6_12,V008_6_12,V008,ADD_WATER,5,6,correct,none,32,0
97,train_0097_V008_6_13,V008_6_13,V008,ADD_WATER,5,6,correct,none,32,0
98,train_0098_V008_6_14,V008_6_14,V008,ADD_WATER,5,6,correct,none,32,0
99,train_0099_V009_1_0,V009_1_0,V009,RETRIEVE_COTTON,0,1,correct,none,16,16
100,train_0100_V009_2_0,V009_2_0,V009,PLACE_COTTON,1,2,correct,none,22,10
101,train_0101_V009_3_0,V009_3_0,V009,HANDLE_SEEDS,2,3,correct,none,28,4
102,train_0102_V009_4_0,V009_4_0,V009,PLACE_SEEDS,3,4,correct,none,32,0
103,train_0103_V009_4_1,V009_4_1,V009,PLACE_SEEDS,3,4,correct,none,32,0
104,train_0104_V009_4_2,V009_4_2,V009,PLACE_SEEDS,3,4,correct,none,32,0
105,train_0105_V009_5_0,V009_5_0,V009,TAKE_DROPPER,4,5,correct,none,25,7
106,train_0106_V009_6_0,V009_6_0,V009,ADD_WATER,5,6,correct,none,32,0
107,train_0107_V009_6_1,V009_6_1,V009,ADD_WATER,5,6,correct,none,32,0
108,train_0108_V009_6_2,V009_6_2,V009,ADD_WATER,5,6,correct,none,32,0
109,train_0109_V009_6_3,V009_6_3,V009,ADD_WATER,5,6,correct,none,32,0
110,train_0110_V009_6_4,V009_6_4,V009,ADD_WATER,5,6,correct,none,32,0
111,train_0111_V009_6_5,V009_6_5,V009,ADD_WATER,5,6,correct,none,32,0
112,train_0112_V009_6_6,V009_6_6,V009,ADD_WATER,5,6,correct,none,32,0
113,train_0113_V009_6_7,V009_6_7,V009,ADD_WATER,5,6,correct,none,32,0
114,train_0114_V009_6_8,V009_6_8,V009,ADD_WATER,5,6,correct,none,32,0
115,train_0115_V009_6_9,V009_6_9,V009,ADD_WATER,5,6,correct,none,32,0
116,train_0116_V009_6_10,V009_6_10,V009,ADD_WATER,5,6,correct,none,32,0
117,train_0117_V010_1_0,V010_1_0,V010,RETRIEVE_COTTON,0,1,correct,none,16,16
118,train_0118_V010_2_0,V010_2_0,V010,PLACE_COTTON,1,2,correct,none,28,4
119,train_0119_V010_3_0,V010_3_0,V010,HANDLE_SEEDS,2,3,correct,none,16,16
120,train_0120_V010_4_0,V010_4_0,V010,PLACE_SEEDS,3,4,correct,none,32,0
121,train_0121_V010_5_0,V010_5_0,V010,TAKE_DROPPER,4,5,correct,none,32,0
122,train_0122_V010_6_0,V010_6_0,V010,ADD_WATER,5,6,correct,none,32,0
123,train_0123_V010_6_1,V010_6_1,V010,ADD_WATER,5,6,correct,none,32,0
124,train_0124_V010_6_2,V010_6_2,V010,ADD_WATER,5,6,correct,none,32,0
125,train_0125_V010_6_3,V010_6_3,V010,ADD_WATER,5,6,correct,none,32,0
126,train_0126_V010_6_4,V010_6_4,V010,ADD_WATER,5,6,correct,none,32,0
127,train_0127_V014_1_0,V014_1_0,V014,RETRIEVE_COTTON,0,1,correct,none,22,10
128,train_0128_V014_2_0,V014_2_0,V014,PLACE_COTTON,1,2,correct,none,28,4
129,train_0129_V014_3_0,V014_3_0,V014,HANDLE_SEEDS,2,3,correct,none,32,0
130,train_0130_V014_3_1,V014_3_1,V014,HANDLE_SEEDS,2,3,correct,none,32,0
131,train_0131_V014_4_0,V014_4_0,V014,PLACE_SEEDS,3,4,correct,none,32,0
132,train_0132_V014_4_1,V014_4_1,V014,PLACE_SEEDS,3,4,correct,none,32,0
133,train_0133_V014_4_2,V014_4_2,V014,PLACE_SEEDS,3,4,correct,none,32,0
134,train_0134_V014_4_3,V014_4_3,V014,PLACE_SEEDS,3,4,correct,none,32,0
135,train_0135_V014_4_4,V014_4_4,V014,PLACE_SEEDS,3,4,correct,none,32,0
136,train_0136_V014_4_5,V014_4_5,V014,PLACE_SEEDS,3,4,correct,none,32,0
137,train_0137_V014_5_0,V014_5_0,V014,TAKE_DROPPER,4,5,correct,none,32,0
138,train_0138_V014_5_1,V014_5_1,V014,TAKE_DROPPER,4,5,correct,none,32,0
139,train_0139_V014_6_0,V014_6_0,V014,ADD_WATER,5,6,correct,none,32,0
140,train_0140_V014_6_1,V014_6_1,V014,ADD_WATER,5,6,correct,none,32,0
141,train_0141_V014_6_2,V014_6_2,V014,ADD_WATER,5,6,correct,none,32,0
142,train_0142_V014_6_3,V014_6_3,V014,ADD_WATER,5,6,correct,none,32,0
143,train_0143_V014_6_4,V014_6_4,V014,ADD_WATER,5,6,correct,none,32,0
144,train_0144_V014_6_5,V014_6_5,V014,ADD_WATER,5,6,correct,none,32,0
145,train_0145_V014_6_6,V014_6_6,V014,ADD_WATER,5,6,correct,none,32,0
146,train_0146_V014_6_7,V014_6_7,V014,ADD_WATER,5,6,correct,none,32,0
147,train_0147_V014_6_8,V014_6_8,V014,ADD_WATER,5,6,correct,none,32,0
148,train_0148_V014_6_9,V014_6_9,V014,ADD_WATER,5,6,correct,none,32,0
149,train_0149_V014_6_10,V014_6_10,V014,ADD_WATER,5,6,correct,none,32,0
150,train_0150_V014_6_11,V014_6_11,V014,ADD_WATER,5,6,correct,none,32,0
151,train_0151_V014_6_12,V014_6_12,V014,ADD_WATER,5,6,correct,none,32,0
152,train_0152_V014_6_13,V014_6_13,V014,ADD_WATER,5,6,correct,none,32,0
153,train_0153_V014_6_14,V014_6_14,V014,ADD_WATER,5,6,correct,none,32,0
154,train_0154_V014_6_15,V014_6_15,V014,ADD_WATER,5,6,correct,none,32,0
155,train_0155_V014_6_16,V014_6_16,V014,ADD_WATER,5,6,correct,none,32,0
156,train_0156_V014_6_17,V014_6_17,V014,ADD_WATER,5,6,correct,none,32,0
157,train_0157_V015_1_0,V015_1_0,V015,RETRIEVE_COTTON,0,1,correct,none,13,19
158,train_0158_V015_2_0,V015_2_0,V015,PLACE_COTTON,1,2,correct,none,25,7
159,train_0159_V015_3_0,V015_3_0,V015,HANDLE_SEEDS,2,3,correct,none,28,4
160,train_0160_V015_4_0,V015_4_0,V015,PLACE_SEEDS,3,4,correct,none,32,0
161,train_0161_V015_4_1,V015_4_1,V015,PLACE_SEEDS,3,4,correct,none,32,0
162,train_0162_V015_5_0,V015_5_0,V015,TAKE_DROPPER,4,5,correct,none,32,0
163,train_0163_V015_6_0,V015_6_0,V015,ADD_WATER,5,6,correct,none,32,0
164,train_0164_V015_6_1,V015_6_1,V015,ADD_WATER,5,6,correct,none,32,0
165,train_0165_V015_6_2,V015_6_2,V015,ADD_WATER,5,6,correct,none,32,0
166,train_0166_V015_6_3,V015_6_3,V015,ADD_WATER,5,6,correct,none,32,0
167,train_0167_V015_6_4,V015_6_4,V015,ADD_WATER,5,6,correct,none,32,0
168,train_0168_V015_6_5,V015_6_5,V015,ADD_WATER,5,6,correct,none,32,0
169,train_0169_V015_6_6,V015_6_6,V015,ADD_WATER,5,6,correct,none,32,0
170,train_0170_V017_1_0,V017_1_0,V017,RETRIEVE_COTTON,0,1,correct,none,16,16
171,train_0171_V017_2_0,V017_2_0,V017,PLACE_COTTON,1,2,correct,none,19,13
172,train_0172_V017_3_0,V017_3_0,V017,HANDLE_SEEDS,2,3,correct,none,28,4
173,train_0173_V017_4_0,V017_4_0,V017,PLACE_SEEDS,3,4,correct,none,32,0
174,train_0174_V017_4_1,V017_4_1,V017,PLACE_SEEDS,3,4,correct,none,32,0
175,train_0175_V017_5_0,V017_5_0,V017,TAKE_DROPPER,4,5,correct,none,26,6
176,train_0176_V017_6_0,V017_6_0,V017,ADD_WATER,5,6,correct,none,32,0
177,train_0177_V017_6_1,V017_6_1,V017,ADD_WATER,5,6,correct,none,32,0
178,train_0178_V017_6_2,V017_6_2,V017,ADD_WATER,5,6,correct,none,32,0
179,train_0179_V017_6_3,V017_6_3,V017,ADD_WATER,5,6,correct,none,32,0
180,train_0180_V017_6_4,V017_6_4,V017,ADD_WATER,5,6,correct,none,32,0
181,train_0181_V017_6_5,V017_6_5,V017,ADD_WATER,5,6,correct,none,32,0
182,train_0182_V017_6_6,V017_6_6,V017,ADD_WATER,5,6,correct,none,32,0
183,train_0183_V018_1_0,V018_1_0,V018,RETRIEVE_COTTON,0,1,correct,none,19,13
184,train_0184_V018_2_0,V018_2_0,V018,PLACE_COTTON,1,2,correct,none,22,10
185,train_0185_V018_3_0,V018_3_0,V018,HANDLE_SEEDS,2,3,correct,none,32,0
186,train_0186_V018_4_0,V018_4_0,V018,PLACE_SEEDS,3,4,correct,none,32,0
187,train_0187_V018_5_0,V018_5_0,V018,TAKE_DROPPER,4,5,correct,none,31,1
188,train_0188_V018_6_0,V018_6_0,V018,ADD_WATER,5,6,correct,none,32,0
189,train_0189_V018_6_1,V018_6_1,V018,ADD_WATER,5,6,correct,none,32,0
190,train_0190_V018_6_2,V018_6_2,V018,ADD_WATER,5,6,correct,none,32,0
191,train_0191_V018_6_3,V018_6_3,V018,ADD_WATER,5,6,correct,none,32,0
192,train_0192_V018_6_4,V018_6_4,V018,ADD_WATER,5,6,correct,none,32,0
193,train_0193_V020_1_0,V020_1_0,V020,RETRIEVE_COTTON,0,1,correct,none,25,7
194,train_0194_V020_2_0,V020_2_0,V020,PLACE_COTTON,1,2,correct,none,25,7
195,train_0195_V020_3_0,V020_3_0,V020,HANDLE_SEEDS,2,3,correct,none,25,7
196,train_0196_V020_4_0,V020_4_0,V020,PLACE_SEEDS,3,4,correct,none,32,0
197,train_0197_V020_4_1,V020_4_1,V020,PLACE_SEEDS,3,4,correct,none,32,0
198,train_0198_V020_5_0,V020_5_0,V020,TAKE_DROPPER,4,5,correct,none,32,0
199,train_0199_V020_6_0,V020_6_0,V020,ADD_WATER,5,6,correct,none,32,0
200,train_0200_V020_6_1,V020_6_1,V020,ADD_WATER,5,6,correct,none,32,0
201,train_0201_V020_6_2,V020_6_2,V020,ADD_WATER,5,6,correct,none,32,0
202,train_0202_V020_6_3,V020_6_3,V020,ADD_WATER,5,6,correct,none,32,0
203,train_0203_V020_6_4,V020_6_4,V020,ADD_WATER,5,6,correct,none,32,0
204,train_0204_V020_6_5,V020_6_5,V020,ADD_WATER,5,6,correct,none,32,0
205,train_0205_V020_6_6,V020_6_6,V020,ADD_WATER,5,6,correct,none,32,0
206,train_0206_V020_6_7,V020_6_7,V020,ADD_WATER,5,6,correct,none,32,0
207,train_0207_V020_6_8,V020_6_8,V020,ADD_WATER,5,6,correct,none,32,0
208,train_0208_V020_6_9,V020_6_9,V020,ADD_WATER,5,6,correct,none,32,0
209,train_0209_V020_6_10,V020_6_10,V020,ADD_WATER,5,6,correct,none,32,0
210,train_0210_V021_1_0,V021_1_0,V021,RETRIEVE_COTTON,0,1,correct,none,10,22
211,train_0211_V021_2_0,V021_2_0,V021,PLACE_COTTON,1,2,correct,none,22,10
212,train_0212_V021_3_0,V021_3_0,V021,HANDLE_SEEDS,2,3,correct,none,32,0
213,train_0213_V021_4_0,V021_4_0,V021,PLACE_SEEDS,3,4,correct,none,31,1
214,train_0214_V021_5_0,V021_5_0,V021,TAKE_DROPPER,4,5,correct,none,28,4
215,train_0215_V021_6_0,V021_6_0,V021,ADD_WATER,5,6,correct,none,32,0
216,train_0216_V021_6_1,V021_6_1,V021,ADD_WATER,5,6,correct,none,32,0
217,train_0217_V021_6_2,V021_6_2,V021,ADD_WATER,5,6,correct,none,32,0
218,train_0218_V021_6_3,V021_6_3,V021,ADD_WATER,5,6,correct,none,32,0
219,train_0219_V021_6_4,V021_6_4,V021,ADD_WATER,5,6,correct,none,32,0
220,train_0220_V021_6_5,V021_6_5,V021,ADD_WATER,5,6,correct,none,32,0
221,train_0221_V022_1_0,V022_1_0,V022,RETRIEVE_COTTON,0,1,correct,none,10,22
222,train_0222_V022_2_0,V022_2_0,V022,PLACE_COTTON,1,2,correct,none,31,1
223,train_0223_V022_3_0,V022_3_0,V022,HANDLE_SEEDS,2,3,correct,none,25,7
224,train_0224_V022_4_0,V022_4_0,V022,PLACE_SEEDS,3,4,correct,none,32,0
225,train_0225_V022_4_1,V022_4_1,V022,PLACE_SEEDS,3,4,correct,none,32,0
226,train_0226_V022_5_0,V022_5_0,V022,TAKE_DROPPER,4,5,correct,none,28,4
227,train_0227_V022_6_0,V022_6_0,V022,ADD_WATER,5,6,correct,none,32,0
228,train_0228_V022_6_1,V022_6_1,V022,ADD_WATER,5,6,correct,none,32,0
229,train_0229_V022_6_2,V022_6_2,V022,ADD_WATER,5,6,correct,none,32,0
230,train_0230_V022_6_3,V022_6_3,V022,ADD_WATER,5,6,correct,none,32,0
231,train_0231_V022_6_4,V022_6_4,V022,ADD_WATER,5,6,correct,none,32,0
232,train_0232_V022_6_5,V022_6_5,V022,ADD_WATER,5,6,correct,none,32,0
233,train_0233_V022_6_6,V022_6_6,V022,ADD_WATER,5,6,correct,none,32,0
234,train_0234_V022_6_7,V022_6_7,V022,ADD_WATER,5,6,correct,none,32,0
235,train_0235_V022_6_8,V022_6_8,V022,ADD_WATER,5,6,correct,none,32,0
236,train_0236_V024_1_0,V024_1_0,V024,RETRIEVE_COTTON,0,1,correct,none,7,25
237,train_0237_V024_2_0,V024_2_0,V024,PLACE_COTTON,1,2,correct,none,31,1
238,train_0238_V024_3_0,V024_3_0,V024,HANDLE_SEEDS,2,3,correct,none,28,4
239,train_0239_V024_4_0,V024_4_0,V024,PLACE_SEEDS,3,4,correct,none,28,4
240,train_0240_V024_5_0,V024_5_0,V024,TAKE_DROPPER,4,5,correct,none,31,1
241,train_0241_V024_6_0,V024_6_0,V024,ADD_WATER,5,6,correct,none,32,0
242,train_0242_V024_6_1,V024_6_1,V024,ADD_WATER,5,6,correct,none,32,0
243,train_0243_V024_6_2,V024_6_2,V024,ADD_WATER,5,6,correct,none,32,0
244,train_0244_V024_6_3,V024_6_3,V024,ADD_WATER,5,6,correct,none,32,0
245,train_0245_V024_6_4,V024_6_4,V024,ADD_WATER,5,6,correct,none,32,0
246,train_0246_V024_6_5,V024_6_5,V024,ADD_WATER,5,6,correct,none,32,0
247,train_0247_V024_6_6,V024_6_6,V024,ADD_WATER,5,6,correct,none,32,0
248,train_0248_V024_6_7,V024_6_7,V024,ADD_WATER,5,6,correct,none,32,0
249,train_0249_V026_1_0,V026_1_0,V026,RETRIEVE_COTTON,0,1,correct,none,19,13
250,train_0250_V026_2_0,V026_2_0,V026,PLACE_COTTON,1,2,correct,none,25,7
251,train_0251_V026_3_0,V026_3_0,V026,HANDLE_SEEDS,2,3,correct,none,32,0
252,train_0252_V026_3_1,V026_3_1,V026,HANDLE_SEEDS,2,3,correct,none,32,0
253,train_0253_V026_4_0,V026_4_0,V026,PLACE_SEEDS,3,4,correct,none,32,0
254,train_0254_V026_4_1,V026_4_1,V026,PLACE_SEEDS,3,4,correct,none,32,0
255,train_0255_V026_5_0,V026_5_0,V026,TAKE_DROPPER,4,5,correct,none,32,0
256,train_0256_V026_5_1,V026_5_1,V026,TAKE_DROPPER,4,5,correct,none,32,0
257,train_0257_V026_5_2,V026_5_2,V026,TAKE_DROPPER,4,5,correct,none,32,0
258,train_0258_V026_5_3,V026_5_3,V026,TAKE_DROPPER,4,5,correct,none,32,0
259,train_0259_V026_6_0,V026_6_0,V026,ADD_WATER,5,6,correct,none,32,0
260,train_0260_V026_6_1,V026_6_1,V026,ADD_WATER,5,6,correct,none,32,0
261,train_0261_V026_6_2,V026_6_2,V026,ADD_WATER,5,6,correct,none,32,0
262,train_0262_V026_6_3,V026_6_3,V026,ADD_WATER,5,6,correct,none,32,0
263,train_0263_V028_1_0,V028_1_0,V028,RETRIEVE_COTTON,0,1,correct,none,32,0
264,train_0264_V028_2_0,V028_2_0,V028,PLACE_COTTON,1,2,correct,none,25,7
265,train_0265_V028_3_0,V028_3_0,V028,HANDLE_SEEDS,2,3,correct,none,32,0
266,train_0266_V028_4_0,V028_4_0,V028,PLACE_SEEDS,3,4,correct,none,25,7
267,train_0267_V028_5_0,V028_5_0,V028,TAKE_DROPPER,4,5,correct,none,32,0
268,train_0268_V028_5_1,V028_5_1,V028,TAKE_DROPPER,4,5,correct,none,32,0
269,train_0269_V028_5_2,V028_5_2,V028,TAKE_DROPPER,4,5,correct,none,32,0
270,train_0270_V028_5_3,V028_5_3,V028,TAKE_DROPPER,4,5,correct,none,32,0
271,train_0271_V028_5_4,V028_5_4,V028,TAKE_DROPPER,4,5,correct,none,32,0
272,train_0272_V028_5_5,V028_5_5,V028,TAKE_DROPPER,4,5,correct,none,32,0
273,train_0273_V028_6_0,V028_6_0,V028,ADD_WATER,5,6,correct,none,32,0
274,train_0274_V028_6_1,V028_6_1,V028,ADD_WATER,5,6,correct,none,32,0
275,train_0275_V029_1_0,V029_1_0,V029,RETRIEVE_COTTON,0,1,correct,none,22,10
276,train_0276_V029_2_0,V029_2_0,V029,PLACE_COTTON,1,2,correct,none,15,17
277,train_0277_V029_3_0,V029_3_0,V029,HANDLE_SEEDS,2,3,correct,none,26,6
278,train_0278_V029_3_0,V029_3_0,V029,HANDLE_SEEDS,2,3,correct,none,13,19
279,train_0279_V029_4_0,V029_4_0,V029,PLACE_SEEDS,3,4,correct,none,28,4
280,train_0280_V029_4_0,V029_4_0,V029,PLACE_SEEDS,3,4,correct,none,32,0
281,train_0281_V029_5_0,V029_5_0,V029,TAKE_DROPPER,4,5,correct,none,32,0
282,train_0282_V029_5_1,V029_5_1,V029,TAKE_DROPPER,4,5,correct,none,32,0
283,train_0283_V029_6_0,V029_6_0,V029,ADD_WATER,5,6,correct,none,32,0
284,train_0284_V029_6_1,V029_6_1,V029,ADD_WATER,5,6,correct,none,32,0
285,train_0285_V029_6_2,V029_6_2,V029,ADD_WATER,5,6,correct,none,32,0
286,train_0286_V030_1_0,V030_1_0,V030,RETRIEVE_COTTON,0,1,correct,none,28,4
287,train_0287_V030_2_0,V030_2_0,V030,PLACE_COTTON,1,2,correct,none,28,4
288,train_0288_V030_3_0,V030_3_0,V030,HANDLE_SEEDS,2,3,correct,none,32,0
289,train_0289_V030_3_1,V030_3_1,V030,HANDLE_SEEDS,2,3,correct,none,32,0
290,train_0290_V030_4_0,V030_4_0,V030,PLACE_SEEDS,3,4,correct,none,32,0
291,train_0291_V030_4_1,V030_4_1,V030,PLACE_SEEDS,3,4,correct,none,32,0
292,train_0292_V030_4_2,V030_4_2,V030,PLACE_SEEDS,3,4,correct,none,32,0
293,train_0293_V030_4_3,V030_4_3,V030,PLACE_SEEDS,3,4,correct,none,32,0
294,train_0294_V030_5_0,V030_5_0,V030,TAKE_DROPPER,4,5,correct,none,32,0
295,train_0295_V030_5_1,V030_5_1,V030,TAKE_DROPPER,4,5,correct,none,32,0
296,train_0296_V030_5_2,V030_5_2,V030,TAKE_DROPPER,4,5,correct,none,32,0
297,train_0297_V030_5_3,V030_5_3,V030,TAKE_DROPPER,4,5,correct,none,32,0
